ASN,prefix,size
8075,199.103.122.0,24
8075,199.189.36.0,24
8075,199.189.37.0,24
8075,199.189.38.0,24
8075,199.233.162.0,24
8075,199.242.32.0,20
8075,199.242.48.0,21
8075,199.255.253.0,24
8075,202.12.70.0,24
8075,202.22.173.0,24
8075,202.89.224.0,21
8075,203.12.31.0,24
8075,203.21.152.0,24
8075,203.32.8.0,24
8075,203.32.10.0,24
8075,203.32.11.0,24
8075,203.84.134.0,24
8075,203.84.135.0,24
8075,204.14.180.0,22
8075,204.79.135.0,24
8075,204.79.179.0,24
8075,204.79.195.0,24
8075,204.79.252.0,24
8075,204.95.96.0,20
8075,204.152.140.0,23
8075,204.209.219.0,24
8075,204.239.54.0,24
8075,205.135.211.0,24
8075,205.135.212.0,24
8075,205.143.44.0,24
8075,205.143.45.0,24
8075,206.138.168.0,21
8075,206.191.224.0,19
8075,206.209.107.0,24
8075,207.46.0.0,19
8075,207.46.36.0,22
8075,207.46.40.0,21
8075,207.46.48.0,20
8075,207.46.64.0,18
8075,207.46.128.0,17
8075,207.68.128.0,18
8075,207.174.51.0,24
8075,208.66.228.0,24
8075,208.68.136.0,21
8075,208.76.45.0,24
8075,208.76.46.0,24
8075,208.80.20.0,24
8075,208.80.21.0,24
8075,208.84.0.0,21
8075,208.90.118.0,24
8075,208.103.174.0,24
8075,209.51.100.0,24
8075,209.143.212.0,24
8075,209.143.213.0,24
8075,209.199.0.0,16
8075,209.240.192.0,19
8075,212.1.218.0,24
8075,212.1.219.0,24
8075,212.1.222.0,24
8075,212.1.223.0,24
8075,212.46.57.0,24
8075,212.56.56.0,24
8075,213.199.128.0,18
8075,213.218.48.0,22
8075,216.32.180.0,22
8075,216.73.183.0,24
8075,216.99.143.0,24
8075,216.126.214.0,24
8075,216.183.110.0,24
8075,216.183.111.0,24
8075,216.220.203.0,24
8075,216.220.204.0,24
8075,216.220.208.0,20
8075,217.169.202.0,24
1820,31.172.136.0,21
1820,31.172.140.0,24
1820,31.172.142.0,24
1820,31.223.224.0,21
1820,64.49.64.0,20
1820,64.49.80.0,20
1820,80.92.224.0,20
1820,82.117.244.0,24
1820,85.90.211.0,24
1820,85.90.223.0,24
1820,91.202.109.0,24
1820,91.202.110.0,23
1820,91.226.1.0,24
1820,92.60.176.0,20
1820,92.119.220.0,22
1820,128.0.168.0,21
1820,128.0.172.0,24
1820,128.0.174.0,24
1820,146.19.54.0,24
1820,185.16.228.0,22
1820,185.38.208.0,23
1820,185.38.210.0,23
1820,185.39.196.0,22
1820,185.45.244.0,22
1820,185.170.192.0,22
1820,193.16.47.0,24
1820,193.104.182.0,24
1820,193.110.100.0,23
1820,193.111.0.0,23
1820,193.111.48.0,22
1820,194.28.196.0,22
1820,194.28.196.0,24
1820,194.246.120.0,23
1820,195.66.93.0,24
1820,195.177.72.0,22
1820,212.110.129.0,24
1820,212.110.130.0,23
1820,212.110.132.0,22
1820,212.110.136.0,21
1820,212.110.144.0,21
1820,212.110.152.0,22
1820,217.20.160.0,20
1820,217.20.164.0,22
1820,217.20.176.0,20
1820,217.20.184.0,22
19551,42.200.61.0,24
19551,45.60.0.0,24
19551,45.60.1.0,24
19551,45.60.2.0,24
19551,45.60.3.0,24
19551,45.60.4.0,24
19551,45.60.5.0,24
19551,45.60.6.0,24
19551,45.60.7.0,24
19551,45.60.8.0,24
19551,45.60.9.0,24
19551,45.60.10.0,24
19551,45.60.11.0,24
19551,45.60.12.0,24
19551,45.60.13.0,24
19551,45.60.14.0,24
19551,45.60.15.0,24
19551,45.60.16.0,24
19551,45.60.17.0,24
19551,45.60.18.0,24
