asn,ipv4,ipv6,ix_id,country,prefixes,pdb_id
32934,"['185.1.48.45', '185.1.48.46']","['2001:7f8:3f::80a6:0:2', '2001:7f8:3f::80a6:0:3']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
208972,['185.1.48.47'],['2001:7f8:3f:0:3:304c:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
60446,['185.1.48.49'],['2001:7f8:3f::ec1e:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
25145,['185.1.48.51'],['2001:7f8:3f::6239:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
209275,['185.1.48.52'],['2001:7f8:3f:0:3:317b:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
112,"['185.1.48.112', '185.1.48.77']",['2001:7f8:3f::70:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
51531,"['185.1.48.116', '185.1.48.110']","['2001:7f8:3f::c94b:0:2', '2001:7f8:3f::c94b:0:1']",187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
34984,['185.1.48.9'],['2001:7f8:3f::88a8:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
3856,['185.1.48.8'],['2001:7f8:3f::f10:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
6762,['185.1.48.27'],['2001:7f8:3f::1a6a:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
15924,['185.1.48.26'],['2001:7f8:3f::3e34:0:1'],187,TR,"{'ipv4': ['185.1.48.0/24'], 'ipv6': ['2001:7f8:3f::/64']}",1150.0
